"","name","obs1","obs2","distance"
"1","grid-000-l",0,0,0
"2","grid-000-l",0,1,8
"3","grid-000-l",0,2,3
"4","grid-000-l",0,3,12
"5","grid-000-l",0,4,4
"6","grid-000-l",0,5,12
"7","grid-000-l",1,0,8
"8","grid-000-l",1,1,0
"9","grid-000-l",1,2,4
"10","grid-000-l",1,3,5
"11","grid-000-l",1,4,8
"12","grid-000-l",1,5,2
"13","grid-000-l",2,0,3
"14","grid-000-l",2,1,4
"15","grid-000-l",2,2,0
"16","grid-000-l",2,3,6
"17","grid-000-l",2,4,3
"18","grid-000-l",2,5,6
"19","grid-000-l",3,0,12
"20","grid-000-l",3,1,5
"21","grid-000-l",3,2,6
"22","grid-000-l",3,3,0
"23","grid-000-l",3,4,7
"24","grid-000-l",3,5,2
"25","grid-000-l",4,0,4
"26","grid-000-l",4,1,8
"27","grid-000-l",4,2,3
"28","grid-000-l",4,3,7
"29","grid-000-l",4,4,0
"30","grid-000-l",4,5,7
"31","grid-000-l",5,0,12
"32","grid-000-l",5,1,2
"33","grid-000-l",5,2,6
"34","grid-000-l",5,3,2
"35","grid-000-l",5,4,7
"36","grid-000-l",5,5,0
"37","grid-001-l",0,0,0
"38","grid-001-l",0,1,2
"39","grid-001-l",0,2,7
"40","grid-001-l",0,3,10
"41","grid-001-l",0,4,2
"42","grid-001-l",0,5,8
"43","grid-001-l",1,0,2
"44","grid-001-l",1,1,0
"45","grid-001-l",1,2,6
"46","grid-001-l",1,3,12
"47","grid-001-l",1,4,5
"48","grid-001-l",1,5,10
"49","grid-001-l",2,0,7
"50","grid-001-l",2,1,6
"51","grid-001-l",2,2,0
"52","grid-001-l",2,3,7
"53","grid-001-l",2,4,9
"54","grid-001-l",2,5,4
"55","grid-001-l",3,0,10
"56","grid-001-l",3,1,12
"57","grid-001-l",3,2,7
"58","grid-001-l",3,3,0
"59","grid-001-l",3,4,5
"60","grid-001-l",3,5,2
"61","grid-001-l",4,0,2
"62","grid-001-l",4,1,5
"63","grid-001-l",4,2,9
"64","grid-001-l",4,3,5
"65","grid-001-l",4,4,0
"66","grid-001-l",4,5,4
"67","grid-001-l",5,0,8
"68","grid-001-l",5,1,10
"69","grid-001-l",5,2,4
"70","grid-001-l",5,3,2
"71","grid-001-l",5,4,4
"72","grid-001-l",5,5,0
"73","grid-002-l",0,0,0
"74","grid-002-l",0,1,8
"75","grid-002-l",0,2,13
"76","grid-002-l",0,3,8
"77","grid-002-l",0,4,4
"78","grid-002-l",0,5,4
"79","grid-002-l",1,0,8
"80","grid-002-l",1,1,0
"81","grid-002-l",1,2,7
"82","grid-002-l",1,3,11
"83","grid-002-l",1,4,4
"84","grid-002-l",1,5,10
"85","grid-002-l",2,0,13
"86","grid-002-l",2,1,7
"87","grid-002-l",2,2,0
"88","grid-002-l",2,3,4
"89","grid-002-l",2,4,8
"90","grid-002-l",2,5,7
"91","grid-002-l",3,0,8
"92","grid-002-l",3,1,11
"93","grid-002-l",3,2,4
"94","grid-002-l",3,3,0
"95","grid-002-l",3,4,5
"96","grid-002-l",3,5,2
"97","grid-002-l",4,0,4
"98","grid-002-l",4,1,4
"99","grid-002-l",4,2,8
"100","grid-002-l",4,3,5
"101","grid-002-l",4,4,0
"102","grid-002-l",4,5,4
"103","grid-002-l",5,0,4
"104","grid-002-l",5,1,10
"105","grid-002-l",5,2,7
"106","grid-002-l",5,3,2
"107","grid-002-l",5,4,4
"108","grid-002-l",5,5,0
"109","grid-003-l",0,0,0
"110","grid-003-l",0,1,8
"111","grid-003-l",0,2,8
"112","grid-003-l",0,3,2
"113","grid-003-l",0,4,2
"114","grid-003-l",0,5,8
"115","grid-003-l",1,0,8
"116","grid-003-l",1,1,0
"117","grid-003-l",1,2,6
"118","grid-003-l",1,3,12
"119","grid-003-l",1,4,7
"120","grid-003-l",1,5,9
"121","grid-003-l",2,0,8
"122","grid-003-l",2,1,6
"123","grid-003-l",2,2,0
"124","grid-003-l",2,3,9
"125","grid-003-l",2,4,12
"126","grid-003-l",2,5,2
"127","grid-003-l",3,0,2
"128","grid-003-l",3,1,12
"129","grid-003-l",3,2,9
"130","grid-003-l",3,3,0
"131","grid-003-l",3,4,4
"132","grid-003-l",3,5,9
"133","grid-003-l",4,0,2
"134","grid-003-l",4,1,7
"135","grid-003-l",4,2,12
"136","grid-003-l",4,3,4
"137","grid-003-l",4,4,0
"138","grid-003-l",4,5,12
"139","grid-003-l",5,0,8
"140","grid-003-l",5,1,9
"141","grid-003-l",5,2,2
"142","grid-003-l",5,3,9
"143","grid-003-l",5,4,12
"144","grid-003-l",5,5,0
"145","grid-004-l",0,0,0
"146","grid-004-l",0,1,7
"147","grid-004-l",0,2,3
"148","grid-004-l",0,3,3
"149","grid-004-l",0,4,5
"150","grid-004-l",0,5,5
"151","grid-004-l",1,0,7
"152","grid-004-l",1,1,0
"153","grid-004-l",1,2,4
"154","grid-004-l",1,3,8
"155","grid-004-l",1,4,4
"156","grid-004-l",1,5,6
"157","grid-004-l",2,0,3
"158","grid-004-l",2,1,4
"159","grid-004-l",2,2,0
"160","grid-004-l",2,3,6
"161","grid-004-l",2,4,8
"162","grid-004-l",2,5,2
"163","grid-004-l",3,0,3
"164","grid-004-l",3,1,8
"165","grid-004-l",3,2,6
"166","grid-004-l",3,3,0
"167","grid-004-l",3,4,4
"168","grid-004-l",3,5,10
"169","grid-004-l",4,0,5
"170","grid-004-l",4,1,4
"171","grid-004-l",4,2,8
"172","grid-004-l",4,3,4
"173","grid-004-l",4,4,0
"174","grid-004-l",4,5,12
"175","grid-004-l",5,0,5
"176","grid-004-l",5,1,6
"177","grid-004-l",5,2,2
"178","grid-004-l",5,3,10
"179","grid-004-l",5,4,12
"180","grid-004-l",5,5,0
"181","grid-005-l",0,0,0
"182","grid-005-l",0,1,3
"183","grid-005-l",0,2,7
"184","grid-005-l",0,3,11
"185","grid-005-l",0,4,3
"186","grid-005-l",0,5,9
"187","grid-005-l",1,0,3
"188","grid-005-l",1,1,0
"189","grid-005-l",1,2,8
"190","grid-005-l",1,3,12
"191","grid-005-l",1,4,6
"192","grid-005-l",1,5,4
"193","grid-005-l",2,0,7
"194","grid-005-l",2,1,8
"195","grid-005-l",2,2,0
"196","grid-005-l",2,3,2
"197","grid-005-l",2,4,4
"198","grid-005-l",2,5,5
"199","grid-005-l",3,0,11
"200","grid-005-l",3,1,12
"201","grid-005-l",3,2,2
"202","grid-005-l",3,3,0
"203","grid-005-l",3,4,5
"204","grid-005-l",3,5,8
"205","grid-005-l",4,0,3
"206","grid-005-l",4,1,6
"207","grid-005-l",4,2,4
"208","grid-005-l",4,3,5
"209","grid-005-l",4,4,0
"210","grid-005-l",4,5,11
"211","grid-005-l",5,0,9
"212","grid-005-l",5,1,4
"213","grid-005-l",5,2,5
"214","grid-005-l",5,3,8
"215","grid-005-l",5,4,11
"216","grid-005-l",5,5,0
"217","grid-006-l",0,0,0
"218","grid-006-l",0,1,12
"219","grid-006-l",0,2,6
"220","grid-006-l",0,3,7
"221","grid-006-l",0,4,3
"222","grid-006-l",0,5,7
"223","grid-006-l",1,0,12
"224","grid-006-l",1,1,0
"225","grid-006-l",1,2,5
"226","grid-006-l",1,3,3
"227","grid-006-l",1,4,7
"228","grid-006-l",1,5,7
"229","grid-006-l",2,0,6
"230","grid-006-l",2,1,5
"231","grid-006-l",2,2,0
"232","grid-006-l",2,3,7
"233","grid-006-l",2,4,2
"234","grid-006-l",2,5,11
"235","grid-006-l",3,0,7
"236","grid-006-l",3,1,3
"237","grid-006-l",3,2,7
"238","grid-006-l",3,3,0
"239","grid-006-l",3,4,4
"240","grid-006-l",3,5,2
"241","grid-006-l",4,0,3
"242","grid-006-l",4,1,7
"243","grid-006-l",4,2,2
"244","grid-006-l",4,3,4
"245","grid-006-l",4,4,0
"246","grid-006-l",4,5,8
"247","grid-006-l",5,0,7
"248","grid-006-l",5,1,7
"249","grid-006-l",5,2,11
"250","grid-006-l",5,3,2
"251","grid-006-l",5,4,8
"252","grid-006-l",5,5,0
"253","grid-007-l",0,0,0
"254","grid-007-l",0,1,4
"255","grid-007-l",0,2,5
"256","grid-007-l",0,3,8
"257","grid-007-l",0,4,4
"258","grid-007-l",0,5,4
"259","grid-007-l",1,0,4
"260","grid-007-l",1,1,0
"261","grid-007-l",1,2,10
"262","grid-007-l",1,3,13
"263","grid-007-l",1,4,9
"264","grid-007-l",1,5,6
"265","grid-007-l",2,0,5
"266","grid-007-l",2,1,10
"267","grid-007-l",2,2,0
"268","grid-007-l",2,3,4
"269","grid-007-l",2,4,9
"270","grid-007-l",2,5,3
"271","grid-007-l",3,0,8
"272","grid-007-l",3,1,13
"273","grid-007-l",3,2,4
"274","grid-007-l",3,3,0
"275","grid-007-l",3,4,4
"276","grid-007-l",3,5,6
"277","grid-007-l",4,0,4
"278","grid-007-l",4,1,9
"279","grid-007-l",4,2,9
"280","grid-007-l",4,3,4
"281","grid-007-l",4,4,0
"282","grid-007-l",4,5,8
"283","grid-007-l",5,0,4
"284","grid-007-l",5,1,6
"285","grid-007-l",5,2,3
"286","grid-007-l",5,3,6
"287","grid-007-l",5,4,8
"288","grid-007-l",5,5,0
"289","grid-008-l",0,0,0
"290","grid-008-l",0,1,4
"291","grid-008-l",0,2,3
"292","grid-008-l",0,3,3
"293","grid-008-l",0,4,11
"294","grid-008-l",0,5,6
"295","grid-008-l",1,0,4
"296","grid-008-l",1,1,0
"297","grid-008-l",1,2,2
"298","grid-008-l",1,3,9
"299","grid-008-l",1,4,7
"300","grid-008-l",1,5,2
"301","grid-008-l",2,0,3
"302","grid-008-l",2,1,2
"303","grid-008-l",2,2,0
"304","grid-008-l",2,3,7
"305","grid-008-l",2,4,12
"306","grid-008-l",2,5,7
"307","grid-008-l",3,0,3
"308","grid-008-l",3,1,9
"309","grid-008-l",3,2,7
"310","grid-008-l",3,3,0
"311","grid-008-l",3,4,6
"312","grid-008-l",3,5,10
"313","grid-008-l",4,0,11
"314","grid-008-l",4,1,7
"315","grid-008-l",4,2,12
"316","grid-008-l",4,3,6
"317","grid-008-l",4,4,0
"318","grid-008-l",4,5,3
"319","grid-008-l",5,0,6
"320","grid-008-l",5,1,2
"321","grid-008-l",5,2,7
"322","grid-008-l",5,3,10
"323","grid-008-l",5,4,3
"324","grid-008-l",5,5,0
"325","grid-009-l",0,0,0
"326","grid-009-l",0,1,7
"327","grid-009-l",0,2,7
"328","grid-009-l",0,3,10
"329","grid-009-l",0,4,6
"330","grid-009-l",0,5,2
"331","grid-009-l",1,0,7
"332","grid-009-l",1,1,0
"333","grid-009-l",1,2,9
"334","grid-009-l",1,3,6
"335","grid-009-l",1,4,13
"336","grid-009-l",1,5,4
"337","grid-009-l",2,0,7
"338","grid-009-l",2,1,9
"339","grid-009-l",2,2,0
"340","grid-009-l",2,3,4
"341","grid-009-l",2,4,2
"342","grid-009-l",2,5,7
"343","grid-009-l",3,0,10
"344","grid-009-l",3,1,6
"345","grid-009-l",3,2,4
"346","grid-009-l",3,3,0
"347","grid-009-l",3,4,8
"348","grid-009-l",3,5,10
"349","grid-009-l",4,0,6
"350","grid-009-l",4,1,13
"351","grid-009-l",4,2,2
"352","grid-009-l",4,3,8
"353","grid-009-l",4,4,0
"354","grid-009-l",4,5,8
"355","grid-009-l",5,0,2
"356","grid-009-l",5,1,4
"357","grid-009-l",5,2,7
"358","grid-009-l",5,3,10
"359","grid-009-l",5,4,8
"360","grid-009-l",5,5,0
"361","grid-010-l",0,0,0
"362","grid-010-l",0,1,9
"363","grid-010-l",0,2,5
"364","grid-010-l",0,3,6
"365","grid-010-l",0,4,2
"366","grid-010-l",0,5,2
"367","grid-010-l",1,0,9
"368","grid-010-l",1,1,0
"369","grid-010-l",1,2,5
"370","grid-010-l",1,3,2
"371","grid-010-l",1,4,9
"372","grid-010-l",1,5,6
"373","grid-010-l",2,0,5
"374","grid-010-l",2,1,5
"375","grid-010-l",2,2,0
"376","grid-010-l",2,3,6
"377","grid-010-l",2,4,3
"378","grid-010-l",2,5,9
"379","grid-010-l",3,0,6
"380","grid-010-l",3,1,2
"381","grid-010-l",3,2,6
"382","grid-010-l",3,3,0
"383","grid-010-l",3,4,6
"384","grid-010-l",3,5,3
"385","grid-010-l",4,0,2
"386","grid-010-l",4,1,9
"387","grid-010-l",4,2,3
"388","grid-010-l",4,3,6
"389","grid-010-l",4,4,0
"390","grid-010-l",4,5,6
"391","grid-010-l",5,0,2
"392","grid-010-l",5,1,6
"393","grid-010-l",5,2,9
"394","grid-010-l",5,3,3
"395","grid-010-l",5,4,6
"396","grid-010-l",5,5,0
"397","grid-011-l",0,0,0
"398","grid-011-l",0,1,4
"399","grid-011-l",0,2,7
"400","grid-011-l",0,3,2
"401","grid-011-l",0,4,12
"402","grid-011-l",0,5,7
"403","grid-011-l",1,0,4
"404","grid-011-l",1,1,0
"405","grid-011-l",1,2,8
"406","grid-011-l",1,3,5
"407","grid-011-l",1,4,6
"408","grid-011-l",1,5,3
"409","grid-011-l",2,0,7
"410","grid-011-l",2,1,8
"411","grid-011-l",2,2,0
"412","grid-011-l",2,3,4
"413","grid-011-l",2,4,5
"414","grid-011-l",2,5,4
"415","grid-011-l",3,0,2
"416","grid-011-l",3,1,5
"417","grid-011-l",3,2,4
"418","grid-011-l",3,3,0
"419","grid-011-l",3,4,12
"420","grid-011-l",3,5,7
"421","grid-011-l",4,0,12
"422","grid-011-l",4,1,6
"423","grid-011-l",4,2,5
"424","grid-011-l",4,3,12
"425","grid-011-l",4,4,0
"426","grid-011-l",4,5,3
"427","grid-011-l",5,0,7
"428","grid-011-l",5,1,3
"429","grid-011-l",5,2,4
"430","grid-011-l",5,3,7
"431","grid-011-l",5,4,3
"432","grid-011-l",5,5,0
"433","grid-000-n",0,0,0
"434","grid-000-n",0,1,6
"435","grid-000-n",0,2,7
"436","grid-000-n",0,3,7
"437","grid-000-n",0,4,3
"438","grid-000-n",0,5,4
"439","grid-000-n",1,0,6
"440","grid-000-n",1,1,0
"441","grid-000-n",1,2,3
"442","grid-000-n",1,3,8
"443","grid-000-n",1,4,10
"444","grid-000-n",1,5,2
"445","grid-000-n",2,0,7
"446","grid-000-n",2,1,3
"447","grid-000-n",2,2,0
"448","grid-000-n",2,3,4
"449","grid-000-n",2,4,11
"450","grid-000-n",2,5,7
"451","grid-000-n",3,0,7
"452","grid-000-n",3,1,8
"453","grid-000-n",3,2,4
"454","grid-000-n",3,3,0
"455","grid-000-n",3,4,5
"456","grid-000-n",3,5,12
"457","grid-000-n",4,0,3
"458","grid-000-n",4,1,10
"459","grid-000-n",4,2,11
"460","grid-000-n",4,3,5
"461","grid-000-n",4,4,0
"462","grid-000-n",4,5,7
"463","grid-000-n",5,0,4
"464","grid-000-n",5,1,2
"465","grid-000-n",5,2,7
"466","grid-000-n",5,3,12
"467","grid-000-n",5,4,7
"468","grid-000-n",5,5,0
"469","grid-001-n",0,0,0
"470","grid-001-n",0,1,8
"471","grid-001-n",0,2,4
"472","grid-001-n",0,3,4
"473","grid-001-n",0,4,4
"474","grid-001-n",0,5,3
"475","grid-001-n",1,0,8
"476","grid-001-n",1,1,0
"477","grid-001-n",1,2,2
"478","grid-001-n",1,3,4
"479","grid-001-n",1,4,6
"480","grid-001-n",1,5,9
"481","grid-001-n",2,0,4
"482","grid-001-n",2,1,2
"483","grid-001-n",2,2,0
"484","grid-001-n",2,3,3
"485","grid-001-n",2,4,4
"486","grid-001-n",2,5,5
"487","grid-001-n",3,0,4
"488","grid-001-n",3,1,4
"489","grid-001-n",3,2,3
"490","grid-001-n",3,3,0
"491","grid-001-n",3,4,10
"492","grid-001-n",3,5,4
"493","grid-001-n",4,0,4
"494","grid-001-n",4,1,6
"495","grid-001-n",4,2,4
"496","grid-001-n",4,3,10
"497","grid-001-n",4,4,0
"498","grid-001-n",4,5,9
"499","grid-001-n",5,0,3
"500","grid-001-n",5,1,9
"501","grid-001-n",5,2,5
"502","grid-001-n",5,3,4
"503","grid-001-n",5,4,9
"504","grid-001-n",5,5,0
"505","grid-002-n",0,0,0
"506","grid-002-n",0,1,2
"507","grid-002-n",0,2,8
"508","grid-002-n",0,3,7
"509","grid-002-n",0,4,2
"510","grid-002-n",0,5,6
"511","grid-002-n",1,0,2
"512","grid-002-n",1,1,0
"513","grid-002-n",1,2,10
"514","grid-002-n",1,3,11
"515","grid-002-n",1,4,5
"516","grid-002-n",1,5,4
"517","grid-002-n",2,0,8
"518","grid-002-n",2,1,10
"519","grid-002-n",2,2,0
"520","grid-002-n",2,3,3
"521","grid-002-n",2,4,8
"522","grid-002-n",2,5,3
"523","grid-002-n",3,0,7
"524","grid-002-n",3,1,11
"525","grid-002-n",3,2,3
"526","grid-002-n",3,3,0
"527","grid-002-n",3,4,4
"528","grid-002-n",3,5,4
"529","grid-002-n",4,0,2
"530","grid-002-n",4,1,5
"531","grid-002-n",4,2,8
"532","grid-002-n",4,3,4
"533","grid-002-n",4,4,0
"534","grid-002-n",4,5,8
"535","grid-002-n",5,0,6
"536","grid-002-n",5,1,4
"537","grid-002-n",5,2,3
"538","grid-002-n",5,3,4
"539","grid-002-n",5,4,8
"540","grid-002-n",5,5,0
"541","grid-003-n",0,0,0
"542","grid-003-n",0,1,6
"543","grid-003-n",0,2,8
"544","grid-003-n",0,3,2
"545","grid-003-n",0,4,7
"546","grid-003-n",0,5,8
"547","grid-003-n",1,0,6
"548","grid-003-n",1,1,0
"549","grid-003-n",1,2,6
"550","grid-003-n",1,3,6
"551","grid-003-n",1,4,9
"552","grid-003-n",1,5,2
"553","grid-003-n",2,0,8
"554","grid-003-n",2,1,6
"555","grid-003-n",2,2,0
"556","grid-003-n",2,3,8
"557","grid-003-n",2,4,4
"558","grid-003-n",2,5,3
"559","grid-003-n",3,0,2
"560","grid-003-n",3,1,6
"561","grid-003-n",3,2,8
"562","grid-003-n",3,3,0
"563","grid-003-n",3,4,4
"564","grid-003-n",3,5,8
"565","grid-003-n",4,0,7
"566","grid-003-n",4,1,9
"567","grid-003-n",4,2,4
"568","grid-003-n",4,3,4
"569","grid-003-n",4,4,0
"570","grid-003-n",4,5,6
"571","grid-003-n",5,0,8
"572","grid-003-n",5,1,2
"573","grid-003-n",5,2,3
"574","grid-003-n",5,3,8
"575","grid-003-n",5,4,6
"576","grid-003-n",5,5,0
"577","grid-004-n",0,0,0
"578","grid-004-n",0,1,3
"579","grid-004-n",0,2,8
"580","grid-004-n",0,3,3
"581","grid-004-n",0,4,8
"582","grid-004-n",0,5,8
"583","grid-004-n",1,0,3
"584","grid-004-n",1,1,0
"585","grid-004-n",1,2,9
"586","grid-004-n",1,3,6
"587","grid-004-n",1,4,11
"588","grid-004-n",1,5,5
"589","grid-004-n",2,0,8
"590","grid-004-n",2,1,9
"591","grid-004-n",2,2,0
"592","grid-004-n",2,3,8
"593","grid-004-n",2,4,2
"594","grid-004-n",2,5,4
"595","grid-004-n",3,0,3
"596","grid-004-n",3,1,6
"597","grid-004-n",3,2,8
"598","grid-004-n",3,3,0
"599","grid-004-n",3,4,4
"600","grid-004-n",3,5,8
"601","grid-004-n",4,0,8
"602","grid-004-n",4,1,11
"603","grid-004-n",4,2,2
"604","grid-004-n",4,3,4
"605","grid-004-n",4,4,0
"606","grid-004-n",4,5,6
"607","grid-004-n",5,0,8
"608","grid-004-n",5,1,5
"609","grid-004-n",5,2,4
"610","grid-004-n",5,3,8
"611","grid-004-n",5,4,6
"612","grid-004-n",5,5,0
"613","grid-005-n",0,0,0
"614","grid-005-n",0,1,8
"615","grid-005-n",0,2,9
"616","grid-005-n",0,3,5
"617","grid-005-n",0,4,4
"618","grid-005-n",0,5,3
"619","grid-005-n",1,0,8
"620","grid-005-n",1,1,0
"621","grid-005-n",1,2,4
"622","grid-005-n",1,3,10
"623","grid-005-n",1,4,3
"624","grid-005-n",1,5,9
"625","grid-005-n",2,0,9
"626","grid-005-n",2,1,4
"627","grid-005-n",2,2,0
"628","grid-005-n",2,3,4
"629","grid-005-n",2,4,4
"630","grid-005-n",2,5,6
"631","grid-005-n",3,0,5
"632","grid-005-n",3,1,10
"633","grid-005-n",3,2,4
"634","grid-005-n",3,3,0
"635","grid-005-n",3,4,9
"636","grid-005-n",3,5,2
"637","grid-005-n",4,0,4
"638","grid-005-n",4,1,3
"639","grid-005-n",4,2,4
"640","grid-005-n",4,3,9
"641","grid-005-n",4,4,0
"642","grid-005-n",4,5,8
"643","grid-005-n",5,0,3
"644","grid-005-n",5,1,9
"645","grid-005-n",5,2,6
"646","grid-005-n",5,3,2
"647","grid-005-n",5,4,8
"648","grid-005-n",5,5,0
"649","grid-006-n",0,0,0
"650","grid-006-n",0,1,5
"651","grid-006-n",0,2,7
"652","grid-006-n",0,3,4
"653","grid-006-n",0,4,2
"654","grid-006-n",0,5,8
"655","grid-006-n",1,0,5
"656","grid-006-n",1,1,0
"657","grid-006-n",1,2,8
"658","grid-006-n",1,3,9
"659","grid-006-n",1,4,8
"660","grid-006-n",1,5,5
"661","grid-006-n",2,0,7
"662","grid-006-n",2,1,8
"663","grid-006-n",2,2,0
"664","grid-006-n",2,3,3
"665","grid-006-n",2,4,9
"666","grid-006-n",2,5,2
"667","grid-006-n",3,0,4
"668","grid-006-n",3,1,9
"669","grid-006-n",3,2,3
"670","grid-006-n",3,3,0
"671","grid-006-n",3,4,4
"672","grid-006-n",3,5,4
"673","grid-006-n",4,0,2
"674","grid-006-n",4,1,8
"675","grid-006-n",4,2,9
"676","grid-006-n",4,3,4
"677","grid-006-n",4,4,0
"678","grid-006-n",4,5,10
"679","grid-006-n",5,0,8
"680","grid-006-n",5,1,5
"681","grid-006-n",5,2,2
"682","grid-006-n",5,3,4
"683","grid-006-n",5,4,10
"684","grid-006-n",5,5,0
"685","grid-007-n",0,0,0
"686","grid-007-n",0,1,11
"687","grid-007-n",0,2,7
"688","grid-007-n",0,3,3
"689","grid-007-n",0,4,3
"690","grid-007-n",0,5,8
"691","grid-007-n",1,0,11
"692","grid-007-n",1,1,0
"693","grid-007-n",1,2,5
"694","grid-007-n",1,3,8
"695","grid-007-n",1,4,10
"696","grid-007-n",1,5,4
"697","grid-007-n",2,0,7
"698","grid-007-n",2,1,5
"699","grid-007-n",2,2,0
"700","grid-007-n",2,3,12
"701","grid-007-n",2,4,3
"702","grid-007-n",2,5,8
"703","grid-007-n",3,0,3
"704","grid-007-n",3,1,8
"705","grid-007-n",3,2,12
"706","grid-007-n",3,3,0
"707","grid-007-n",3,4,8
"708","grid-007-n",3,5,3
"709","grid-007-n",4,0,3
"710","grid-007-n",4,1,10
"711","grid-007-n",4,2,3
"712","grid-007-n",4,3,8
"713","grid-007-n",4,4,0
"714","grid-007-n",4,5,7
"715","grid-007-n",5,0,8
"716","grid-007-n",5,1,4
"717","grid-007-n",5,2,8
"718","grid-007-n",5,3,3
"719","grid-007-n",5,4,7
"720","grid-007-n",5,5,0
"721","grid-008-n",0,0,0
"722","grid-008-n",0,1,4
"723","grid-008-n",0,2,8
"724","grid-008-n",0,3,7
"725","grid-008-n",0,4,3
"726","grid-008-n",0,5,6
"727","grid-008-n",1,0,4
"728","grid-008-n",1,1,0
"729","grid-008-n",1,2,3
"730","grid-008-n",1,3,11
"731","grid-008-n",1,4,8
"732","grid-008-n",1,5,8
"733","grid-008-n",2,0,8
"734","grid-008-n",2,1,3
"735","grid-008-n",2,2,0
"736","grid-008-n",2,3,6
"737","grid-008-n",2,4,11
"738","grid-008-n",2,5,3
"739","grid-008-n",3,0,7
"740","grid-008-n",3,1,11
"741","grid-008-n",3,2,6
"742","grid-008-n",3,3,0
"743","grid-008-n",3,4,6
"744","grid-008-n",3,5,2
"745","grid-008-n",4,0,3
"746","grid-008-n",4,1,8
"747","grid-008-n",4,2,11
"748","grid-008-n",4,3,6
"749","grid-008-n",4,4,0
"750","grid-008-n",4,5,9
"751","grid-008-n",5,0,6
"752","grid-008-n",5,1,8
"753","grid-008-n",5,2,3
"754","grid-008-n",5,3,2
"755","grid-008-n",5,4,9
"756","grid-008-n",5,5,0
"757","grid-009-n",0,0,0
"758","grid-009-n",0,1,4
"759","grid-009-n",0,2,10
"760","grid-009-n",0,3,6
"761","grid-009-n",0,4,2
"762","grid-009-n",0,5,5
"763","grid-009-n",1,0,4
"764","grid-009-n",1,1,0
"765","grid-009-n",1,2,7
"766","grid-009-n",1,3,11
"767","grid-009-n",1,4,8
"768","grid-009-n",1,5,5
"769","grid-009-n",2,0,10
"770","grid-009-n",2,1,7
"771","grid-009-n",2,2,0
"772","grid-009-n",2,3,6
"773","grid-009-n",2,4,13
"774","grid-009-n",2,5,3
"775","grid-009-n",3,0,6
"776","grid-009-n",3,1,11
"777","grid-009-n",3,2,6
"778","grid-009-n",3,3,0
"779","grid-009-n",3,4,5
"780","grid-009-n",3,5,4
"781","grid-009-n",4,0,2
"782","grid-009-n",4,1,8
"783","grid-009-n",4,2,13
"784","grid-009-n",4,3,5
"785","grid-009-n",4,4,0
"786","grid-009-n",4,5,8
"787","grid-009-n",5,0,5
"788","grid-009-n",5,1,5
"789","grid-009-n",5,2,3
"790","grid-009-n",5,3,4
"791","grid-009-n",5,4,8
"792","grid-009-n",5,5,0
"793","grid-010-n",0,0,0
"794","grid-010-n",0,1,9
"795","grid-010-n",0,2,10
"796","grid-010-n",0,3,5
"797","grid-010-n",0,4,3
"798","grid-010-n",0,5,3
"799","grid-010-n",1,0,9
"800","grid-010-n",1,1,0
"801","grid-010-n",1,2,2
"802","grid-010-n",1,3,8
"803","grid-010-n",1,4,5
"804","grid-010-n",1,5,8
"805","grid-010-n",2,0,10
"806","grid-010-n",2,1,2
"807","grid-010-n",2,2,0
"808","grid-010-n",2,3,5
"809","grid-010-n",2,4,6
"810","grid-010-n",2,5,7
"811","grid-010-n",3,0,5
"812","grid-010-n",3,1,8
"813","grid-010-n",3,2,5
"814","grid-010-n",3,3,0
"815","grid-010-n",3,4,10
"816","grid-010-n",3,5,2
"817","grid-010-n",4,0,3
"818","grid-010-n",4,1,5
"819","grid-010-n",4,2,6
"820","grid-010-n",4,3,10
"821","grid-010-n",4,4,0
"822","grid-010-n",4,5,9
"823","grid-010-n",5,0,3
"824","grid-010-n",5,1,8
"825","grid-010-n",5,2,7
"826","grid-010-n",5,3,2
"827","grid-010-n",5,4,9
"828","grid-010-n",5,5,0
"829","grid-011-n",0,0,0
"830","grid-011-n",0,1,9
"831","grid-011-n",0,2,10
"832","grid-011-n",0,3,7
"833","grid-011-n",0,4,4
"834","grid-011-n",0,5,3
"835","grid-011-n",1,0,9
"836","grid-011-n",1,1,0
"837","grid-011-n",1,2,3
"838","grid-011-n",1,3,9
"839","grid-011-n",1,4,4
"840","grid-011-n",1,5,8
"841","grid-011-n",2,0,10
"842","grid-011-n",2,1,3
"843","grid-011-n",2,2,0
"844","grid-011-n",2,3,5
"845","grid-011-n",2,4,6
"846","grid-011-n",2,5,8
"847","grid-011-n",3,0,7
"848","grid-011-n",3,1,9
"849","grid-011-n",3,2,5
"850","grid-011-n",3,3,0
"851","grid-011-n",3,4,12
"852","grid-011-n",3,5,3
"853","grid-011-n",4,0,4
"854","grid-011-n",4,1,4
"855","grid-011-n",4,2,6
"856","grid-011-n",4,3,12
"857","grid-011-n",4,4,0
"858","grid-011-n",4,5,9
"859","grid-011-n",5,0,3
"860","grid-011-n",5,1,8
"861","grid-011-n",5,2,8
"862","grid-011-n",5,3,3
"863","grid-011-n",5,4,9
"864","grid-011-n",5,5,0
