,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC
0,grid-000-l,obs-0,9,8,6,8,1,0.010614064847574226,21,4.539786870243439e-05
1,grid-000-l,obs-1,15,2,3,5,1,0.2802306983957726,21,1.0
2,grid-000-l,obs-2,10,8,1,2,1,0.00906315126254055,21,4.539786870243439e-05
3,grid-000-l,obs-3,8,10,2,4,1,0.5061309552658346,21,1.0
4,grid-000-l,obs-4,5,13,1,3,1,0.11685164542238119,21,1.0
5,grid-000-l,obs-5,12,6,2,4,1,0.19885620123103687,21,1.0
6,grid-001-l,obs-0,7,5,3,5,1,0.20771565308742806,18,0.9999999999999997
7,grid-001-l,obs-1,3,8,4,6,1,0.27191548966966195,18,0.00668720283681836
8,grid-001-l,obs-2,4,13,2,4,1,0.012314695926228528,18,4.539786870243437e-05
9,grid-001-l,obs-3,10,5,4,6,1,0.010972335706781813,18,4.539786870243437e-05
10,grid-001-l,obs-4,9,2,3,5,1,0.3593439943971042,18,0.9999999999999997
11,grid-001-l,obs-5,8,8,2,4,1,0.012373059414030555,18,4.539786870243437e-05
12,grid-002-l,obs-0,4,7,3,5,1,0.47329006490264636,15,0.9999999999999997
13,grid-002-l,obs-1,14,2,6,8,1,0.01255259967192072,15,4.539786870243438e-05
14,grid-002-l,obs-2,10,8,6,8,1,0.014264317809000815,15,4.539786870243438e-05
15,grid-002-l,obs-3,5,9,2,4,1,0.01355110191855078,15,4.539786870243438e-05
16,grid-002-l,obs-4,8,2,1,2,1,0.3557520861564798,15,0.9999999999999997
17,grid-002-l,obs-5,2,8,1,2,1,0.11247414592397144,15,0.03441306186950741
18,grid-003-l,obs-0,5,4,1,2,1,0.44588744588744433,21,1.0000000000000002
19,grid-003-l,obs-1,14,7,6,8,1,0.009503906055630182,21,4.5397868702434395e-05
20,grid-003-l,obs-2,7,14,4,6,1,0.009802458078320128,21,4.53978687024344e-05
21,grid-003-l,obs-3,5,6,3,5,1,0.38712245608797197,21,1.0000000000000002
22,grid-003-l,obs-4,8,1,4,6,1,0.15489874110563734,21,0.9999544156427649
23,grid-003-l,obs-5,4,14,4,6,1,0.009105836692043576,21,4.53978687024344e-05
24,grid-004-l,obs-0,1,11,1,2,1,0.07083847102342787,17,0.0005525508502072495
25,grid-004-l,obs-1,10,2,3,5,1,0.06837237977805177,17,0.006687451943922978
26,grid-004-l,obs-2,5,6,1,3,1,0.7368064118372376,17,0.9999999999999997
27,grid-004-l,obs-3,6,12,1,3,1,0.011898890258939579,17,4.539786870243437e-05
28,grid-004-l,obs-4,8,7,3,5,1,0.008631319358816274,17,4.539786870243437e-05
29,grid-004-l,obs-5,4,8,5,7,1,0.7358816276202218,17,0.9999999999999997
30,grid-005-l,obs-0,8,4,2,4,1,0.3822987528344675,15,0.993292148757279
31,grid-005-l,obs-1,9,3,3,5,1,0.29464285714285726,15,0.9999999999999996
32,grid-005-l,obs-2,4,13,1,3,1,0.011692176870748307,15,4.5397868702434395e-05
33,grid-005-l,obs-3,3,17,5,7,1,0.01169217687074831,15,4.5397868702434395e-05
34,grid-005-l,obs-4,2,9,4,6,1,0.2945011337868485,15,0.07578280427200895
35,grid-005-l,obs-5,11,9,3,5,1,0.012684240362811804,15,4.5397868702434395e-05
36,grid-006-l,obs-0,10,8,2,4,1,0.01357409713574096,17,4.539786870243381e-05
37,grid-006-l,obs-1,10,4,6,8,1,0.04533001245330012,17,0.7769859714857191
38,grid-006-l,obs-2,14,2,4,6,1,0.011581569115815683,17,4.5397868702434395e-05
39,grid-006-l,obs-3,5,5,1,3,1,0.47851805728518093,17,1.0
40,grid-006-l,obs-4,11,3,1,3,1,0.00952677459526774,17,4.539786870243381e-05
41,grid-006-l,obs-5,2,9,3,5,1,0.5136986301369868,17,1.0
42,grid-007-l,obs-0,9,4,1,3,1,0.4349387148693821,17,0.9999999999999997
43,grid-007-l,obs-1,14,1,6,8,1,0.17902686641079624,17,0.999954452087813
44,grid-007-l,obs-2,8,10,2,4,1,0.010833230159712763,17,4.539786870243438e-05
45,grid-007-l,obs-3,2,13,3,5,1,0.010090380091618174,17,4.539786870243438e-05
46,grid-007-l,obs-4,3,9,3,5,1,0.6522223597870488,17,0.9999999999999997
47,grid-007-l,obs-5,7,5,1,3,1,0.011885601089513432,17,4.539786870243438e-05
48,grid-008-l,obs-0,5,6,3,5,1,0.6350677120456174,15,0.9999962609497959
49,grid-008-l,obs-1,1,13,1,3,1,0.011047754811119031,15,4.539786870243437e-05
50,grid-008-l,obs-2,2,11,4,6,1,0.01297220242337848,15,4.539786870243437e-05
51,grid-008-l,obs-3,10,3,4,6,1,0.35851746258018574,15,0.9999999999999992
52,grid-008-l,obs-4,10,10,4,6,1,0.010477548111190308,15,4.539786870243437e-05
53,grid-008-l,obs-5,5,14,2,4,1,0.011974340698503212,15,4.539786870243437e-05
54,grid-009-l,obs-0,2,14,4,6,1,0.36604053386060037,21,0.10073136692862752
55,grid-009-l,obs-1,12,9,4,6,1,0.00850222441917939,21,4.539786870243439e-05
56,grid-009-l,obs-2,5,6,1,3,1,0.3256055363321776,21,0.9999999999999998
57,grid-009-l,obs-3,8,1,2,4,1,0.25684626791893084,21,0.9999996924108979
58,grid-009-l,obs-4,4,9,5,7,1,0.20370736529905972,21,0.9999999999999998
59,grid-009-l,obs-5,6,14,4,6,1,0.19233811171527365,21,0.0066859454690443255
60,grid-010-l,obs-0,2,9,1,3,1,0.011227314672408494,14,4.5397868702434435e-05
61,grid-010-l,obs-1,13,2,4,6,1,0.012919101814826214,14,4.5397868702434435e-05
62,grid-010-l,obs-2,7,5,2,4,1,0.4658566594893874,14,1.000000000000001
63,grid-010-l,obs-3,10,6,1,3,1,0.013149800061519543,14,4.5397868702434435e-05
64,grid-010-l,obs-4,3,11,3,5,1,0.011688711165795144,14,4.5397868702434435e-05
65,grid-010-l,obs-5,4,9,3,5,1,0.011458012919101819,14,4.5397868702434435e-05
66,grid-011-l,obs-0,7,11,3,5,1,0.009356545747373279,14,4.539786870243502e-05
67,grid-011-l,obs-1,8,5,1,3,1,0.009279852749443988,14,4.5397868702435025e-05
68,grid-011-l,obs-2,4,6,3,5,1,0.5872382851445674,14,0.9994458523438431
69,grid-011-l,obs-3,2,11,3,5,1,0.013651353631413472,14,4.5397868702435025e-05
70,grid-011-l,obs-4,12,1,5,7,1,0.011810721681110532,14,0.4996749918048293
71,grid-011-l,obs-5,7,2,1,2,1,0.30976301863639844,14,0.9999999999999999
72,grid-000-n,obs-0,3,11,1,3,0,0.00939405250715442,17,4.539786870243439e-05
73,grid-000-n,obs-1,11,4,1,3,0,0.011198208286674144,17,4.539786870243439e-05
74,grid-000-n,obs-2,12,1,2,4,0,0.27329849446310833,17,0.9999996928103712
75,grid-000-n,obs-3,6,7,3,5,0,0.4468085106382986,17,0.9999999999999999
76,grid-000-n,obs-4,1,15,5,7,0,0.8722782132636571,17,0.9999999999999999
77,grid-000-n,obs-5,7,8,4,6,0,0.007465472191116095,17,4.539786870243439e-05
78,grid-001-n,obs-0,8,6,1,2,0,0.005551743496974614,17,4.5397868702434374e-05
79,grid-001-n,obs-1,3,6,4,6,0,0.733516312145219,17,0.993290759430334
80,grid-001-n,obs-2,2,5,1,2,0,0.838063751481505,17,0.9999999119686612
81,grid-001-n,obs-3,8,1,2,4,0,0.5227371966814296,17,1.0000000000000002
82,grid-001-n,obs-4,5,12,4,6,0,0.0054269852161437215,17,4.539786870243438e-05
83,grid-001-n,obs-5,9,3,1,3,0,0.005863639199051836,17,4.539786870243438e-05
84,grid-002-n,obs-0,6,6,1,3,0,0.2065022272455291,16,0.9999999999999998
85,grid-002-n,obs-1,10,3,4,6,0,0.009241406821354976,16,4.5397868702434395e-05
86,grid-002-n,obs-2,7,9,3,5,0,0.011435409879662269,16,4.539786870243439e-05
87,grid-002-n,obs-3,2,10,3,5,0,0.5731001928063304,16,0.9240067684315444
88,grid-002-n,obs-4,2,8,3,5,0,0.009839771291802416,16,4.539786870243439e-05
89,grid-002-n,obs-5,7,3,1,3,0,0.33641380227378564,16,0.9999999999999998
90,grid-003-n,obs-0,9,4,3,5,0,0.2779521056977699,19,0.7769373060600991
91,grid-003-n,obs-1,11,3,1,3,0,0.012441508395265588,19,4.539786870243442e-05
92,grid-003-n,obs-2,5,9,1,3,0,0.012992017616295036,19,4.539786870243442e-05
93,grid-003-n,obs-3,5,7,3,5,0,0.12639691714836188,19,0.00668678745036559
94,grid-003-n,obs-4,1,12,4,6,0,0.860941370767956,19,1.0000000000000002
95,grid-003-n,obs-5,8,5,1,3,0,0.010074318744838946,19,4.539786870243442e-05
96,grid-004-n,obs-0,7,5,2,4,0,0.2124188446812053,19,0.5000113497248029
97,grid-004-n,obs-1,10,2,3,5,0,0.357027911880584,19,1.0000000000000013
98,grid-004-n,obs-2,3,13,2,4,0,0.00782420509405694,19,4.539786870243446e-05
99,grid-004-n,obs-3,5,10,2,4,0,0.21891127018478446,19,0.5000113497248029
100,grid-004-n,obs-4,1,15,4,6,0,0.008379113256756015,19,4.539786870243446e-05
101,grid-004-n,obs-5,5,7,2,4,0,0.716164474779425,19,0.9999544338687514
102,grid-005-n,obs-0,13,2,4,6,0,0.16788663114130115,18,1.0
103,grid-005-n,obs-1,7,8,4,6,0,0.02617555776775778,18,0.0005525369943160541
104,grid-005-n,obs-2,2,9,1,3,0,0.5684839257480818,18,1.0
105,grid-005-n,obs-3,7,4,2,4,0,0.007788253206066631,18,4.5397868702434395e-05
106,grid-005-n,obs-4,8,7,3,5,0,0.3856649294372551,18,0.4995687841211342
107,grid-005-n,obs-5,10,2,1,3,0,0.2621654857410552,18,1.0
108,grid-006-n,obs-0,4,8,2,4,0,0.6595688401005172,16,1.0000000000000002
109,grid-006-n,obs-1,10,3,3,5,0,0.2036106335140858,16,0.4996250223197254
110,grid-006-n,obs-2,6,5,1,3,0,0.28263457214654214,16,1.0000000000000002
111,grid-006-n,obs-3,1,6,2,4,0,0.008266102367411725,16,4.53978687024344e-05
112,grid-006-n,obs-4,3,10,4,6,0,0.009985451659833363,16,4.53978687024344e-05
113,grid-006-n,obs-5,7,2,2,4,0,0.009720936384076187,16,4.539786870243182e-05
114,grid-007-n,obs-0,13,3,3,5,0,0.009304225479961849,23,4.5397868702433094e-05
115,grid-007-n,obs-1,2,9,5,7,0,0.009213452548450025,23,4.5397868702433094e-05
116,grid-007-n,obs-2,6,8,2,4,0,0.5364680252348739,23,1.0
117,grid-007-n,obs-3,9,3,5,7,0,0.00980347660327687,23,4.5397868702433094e-05
118,grid-007-n,obs-4,13,5,3,5,0,0.27440657196024093,23,1.0
119,grid-007-n,obs-5,5,5,1,3,0,0.354377524622157,23,1.0
120,grid-008-n,obs-0,5,7,1,3,0,0.25761384228678336,18,1.0
121,grid-008-n,obs-1,2,11,4,6,0,0.009586718887005321,18,4.539786870243439e-05
122,grid-008-n,obs-2,3,8,3,5,0,0.01081428654936576,18,4.539786870243439e-05
123,grid-008-n,obs-3,9,3,3,5,0,0.21745484304670595,18,1.0
124,grid-008-n,obs-4,8,3,4,6,0,0.00847606243058397,18,4.539786870243439e-05
125,grid-008-n,obs-5,6,6,1,3,0,0.6167066113286954,18,1.0
126,grid-009-n,obs-0,7,3,1,3,0,0.2762247071352505,16,1.0
127,grid-009-n,obs-1,3,8,5,7,0,0.009518104366347181,16,4.539786870243439e-05
128,grid-009-n,obs-2,4,10,5,7,0,0.008320021299254528,16,4.539786870243439e-05
129,grid-009-n,obs-3,8,3,2,4,0,0.3408546325878596,16,1.0
130,grid-009-n,obs-4,10,3,4,6,0,0.008785942492012786,16,4.539786870243439e-05
131,grid-009-n,obs-5,2,5,1,2,0,0.7947284345047936,16,1.0
132,grid-010-n,obs-0,8,6,4,6,0,0.1095127610208814,18,0.006687202836818363
133,grid-010-n,obs-1,12,3,1,3,0,0.12012761020881645,18,0.9999999999999997
134,grid-010-n,obs-2,8,4,2,4,0,0.011136890951276098,18,4.539786870243439e-05
135,grid-010-n,obs-3,1,9,3,5,0,0.3087587006960563,18,0.9999999999999997
136,grid-010-n,obs-4,14,2,3,5,0,0.010672853828306262,18,4.539786870243439e-05
137,grid-010-n,obs-5,4,8,3,5,0,0.13010440835266793,18,0.9999999999999997
138,grid-011-n,obs-0,9,1,3,5,0,0.011217849395723574,17,4.539786870243441e-05
139,grid-011-n,obs-1,7,10,3,5,0,0.013263092655717382,17,4.539786870243441e-05
140,grid-011-n,obs-2,3,11,3,5,0,0.5960334676169807,17,0.9239936327929815
141,grid-011-n,obs-3,2,6,4,6,0,0.010969941121784937,17,4.539786870243441e-05
142,grid-011-n,obs-4,10,6,4,6,0,0.11688875116207018,17,0.006687503369547861
143,grid-011-n,obs-5,7,3,1,3,0,0.3160830492717693,17,1.0000000000000002
